OLD PROCEDURE: Removing passenger with lastname Macdonald, row 18, and priority value 318
OLD PROCEDURE: Removing passenger with lastname Benjamin, row 15, and priority value 315
OLD PROCEDURE: Removing passenger with lastname Velez, row 14, and priority value 314
OLD PROCEDURE: Removing passenger with lastname Hopper, row 7, and priority value 307
OLD PROCEDURE: Removing passenger with lastname Kidd, row 6, and priority value 306
OLD PROCEDURE: Removing passenger with lastname Donovan, row 6, and priority value 306
OLD PROCEDURE: Removing passenger with lastname Terrell, row 3, and priority value 303
OLD PROCEDURE: Removing passenger with lastname Gould, row 26, and priority value 226
OLD PROCEDURE: Removing passenger with lastname Stanton, row 26, and priority value 226
OLD PROCEDURE: Removing passenger with lastname Rivas, row 26, and priority value 226
OLD PROCEDURE: Removing passenger with lastname Hays, row 26, and priority value 226
OLD PROCEDURE: Removing passenger with lastname Mccarty, row 24, and priority value 224
OLD PROCEDURE: Removing passenger with lastname Trujillo, row 24, and priority value 224
OLD PROCEDURE: Removing passenger with lastname Randolph, row 23, and priority value 223
OLD PROCEDURE: Removing passenger with lastname Galloway, row 23, and priority value 223
OLD PROCEDURE: Removing passenger with lastname Fulton, row 20, and priority value 220
OLD PROCEDURE: Removing passenger with lastname Dodson, row 20, and priority value 220
OLD PROCEDURE: Removing passenger with lastname Mccray, row 19, and priority value 219
OLD PROCEDURE: Removing passenger with lastname Pate, row 19, and priority value 219
OLD PROCEDURE: Removing passenger with lastname Cherry, row 18, and priority value 218
OLD PROCEDURE: Removing passenger with lastname Buckley, row 17, and priority value 217
OLD PROCEDURE: Removing passenger with lastname Lindsay, row 16, and priority value 216
OLD PROCEDURE: Removing passenger with lastname Dale, row 16, and priority value 216
OLD PROCEDURE: Removing passenger with lastname Herring, row 15, and priority value 215
OLD PROCEDURE: Removing passenger with lastname Bray, row 14, and priority value 214
OLD PROCEDURE: Removing passenger with lastname Benton, row 13, and priority value 213
OLD PROCEDURE: Removing passenger with lastname Bartlett, row 13, and priority value 213
OLD PROCEDURE: Removing passenger with lastname Britt, row 11, and priority value 211
OLD PROCEDURE: Removing passenger with lastname Vaughan, row 11, and priority value 211
OLD PROCEDURE: Removing passenger with lastname Roach, row 11, and priority value 211
OLD PROCEDURE: Removing passenger with lastname Solis, row 11, and priority value 211
OLD PROCEDURE: Removing passenger with lastname Tillman, row 10, and priority value 210
OLD PROCEDURE: Removing passenger with lastname Compton, row 10, and priority value 210
OLD PROCEDURE: Removing passenger with lastname Landry, row 10, and priority value 210
OLD PROCEDURE: Removing passenger with lastname Levine, row 9, and priority value 209
OLD PROCEDURE: Removing passenger with lastname Castaneda, row 9, and priority value 209
OLD PROCEDURE: Removing passenger with lastname Mayer, row 9, and priority value 209
OLD PROCEDURE: Removing passenger with lastname Levy, row 9, and priority value 209
OLD PROCEDURE: Removing passenger with lastname Nieves, row 9, and priority value 209
OLD PROCEDURE: Removing passenger with lastname Odom, row 8, and priority value 208
OLD PROCEDURE: Removing passenger with lastname Odonnell, row 8, and priority value 208
OLD PROCEDURE: Removing passenger with lastname Valencia, row 7, and priority value 207
OLD PROCEDURE: Removing passenger with lastname Holman, row 7, and priority value 207
OLD PROCEDURE: Removing passenger with lastname Estes, row 7, and priority value 207
OLD PROCEDURE: Removing passenger with lastname Gay, row 6, and priority value 206
OLD PROCEDURE: Removing passenger with lastname Rivers, row 6, and priority value 206
OLD PROCEDURE: Removing passenger with lastname Rasmussen, row 5, and priority value 205
OLD PROCEDURE: Removing passenger with lastname Rollins, row 5, and priority value 205
OLD PROCEDURE: Removing passenger with lastname Holder, row 5, and priority value 205
OLD PROCEDURE: Removing passenger with lastname Durham, row 5, and priority value 205
OLD PROCEDURE: Removing passenger with lastname Moon, row 2, and priority value 202
OLD PROCEDURE: Removing passenger with lastname Vinson, row 1, and priority value 201
OLD PROCEDURE: Removing passenger with lastname Noel, row 26, and priority value 126
OLD PROCEDURE: Removing passenger with lastname Rutledge, row 26, and priority value 126
OLD PROCEDURE: Removing passenger with lastname Valenzuela, row 26, and priority value 126
OLD PROCEDURE: Removing passenger with lastname Berger, row 26, and priority value 126
OLD PROCEDURE: Removing passenger with lastname Sykes, row 26, and priority value 126
OLD PROCEDURE: Removing passenger with lastname Cabrera, row 26, and priority value 126
OLD PROCEDURE: Removing passenger with lastname Case, row 26, and priority value 126
OLD PROCEDURE: Removing passenger with lastname Mcfarland, row 26, and priority value 126
OLD PROCEDURE: Removing passenger with lastname Donaldson, row 25, and priority value 125
OLD PROCEDURE: Removing passenger with lastname Stark, row 25, and priority value 125
OLD PROCEDURE: Removing passenger with lastname Crosby, row 25, and priority value 125
OLD PROCEDURE: Removing passenger with lastname Hurst, row 25, and priority value 125
OLD PROCEDURE: Removing passenger with lastname Bright, row 25, and priority value 125
OLD PROCEDURE: Removing passenger with lastname Gilliam, row 25, and priority value 125
OLD PROCEDURE: Removing passenger with lastname Rocha, row 24, and priority value 124
OLD PROCEDURE: Removing passenger with lastname Boyle, row 24, and priority value 124
OLD PROCEDURE: Removing passenger with lastname Salas, row 24, and priority value 124
OLD PROCEDURE: Removing passenger with lastname Finley, row 24, and priority value 124
OLD PROCEDURE: Removing passenger with lastname Juarez, row 24, and priority value 124
OLD PROCEDURE: Removing passenger with lastname Sosa, row 23, and priority value 123
OLD PROCEDURE: Removing passenger with lastname Rosales, row 23, and priority value 123
OLD PROCEDURE: Removing passenger with lastname Whitfield, row 23, and priority value 123
OLD PROCEDURE: Removing passenger with lastname Chen, row 23, and priority value 123
OLD PROCEDURE: Removing passenger with lastname Fuentes, row 23, and priority value 123
OLD PROCEDURE: Removing passenger with lastname Pace, row 23, and priority value 123
OLD PROCEDURE: Removing passenger with lastname Pacheco, row 23, and priority value 123
OLD PROCEDURE: Removing passenger with lastname Battle, row 22, and priority value 122
OLD PROCEDURE: Removing passenger with lastname Whitney, row 22, and priority value 122
OLD PROCEDURE: Removing passenger with lastname Oneill, row 22, and priority value 122
OLD PROCEDURE: Removing passenger with lastname Guy, row 22, and priority value 122
OLD PROCEDURE: Removing passenger with lastname Pollard, row 22, and priority value 122
OLD PROCEDURE: Removing passenger with lastname Mcintosh, row 22, and priority value 122
OLD PROCEDURE: Removing passenger with lastname Dickson, row 22, and priority value 122
OLD PROCEDURE: Removing passenger with lastname Buck, row 22, and priority value 122
OLD PROCEDURE: Removing passenger with lastname Dudley, row 22, and priority value 122
OLD PROCEDURE: Removing passenger with lastname Henson, row 22, and priority value 122
OLD PROCEDURE: Removing passenger with lastname Browning, row 21, and priority value 121
OLD PROCEDURE: Removing passenger with lastname Solomon, row 21, and priority value 121
OLD PROCEDURE: Removing passenger with lastname Pennington, row 21, and priority value 121
OLD PROCEDURE: Removing passenger with lastname Spears, row 21, and priority value 121
OLD PROCEDURE: Removing passenger with lastname Kinney, row 21, and priority value 121
OLD PROCEDURE: Removing passenger with lastname Carrillo, row 21, and priority value 121
