OLD PROCEDURE: Removing passenger with lastname Delacruz, row 22, and priority value 322
OLD PROCEDURE: Removing passenger with lastname Trevino, row 21, and priority value 321
OLD PROCEDURE: Removing passenger with lastname Dorsey, row 18, and priority value 318
OLD PROCEDURE: Removing passenger with lastname Howe, row 18, and priority value 318
OLD PROCEDURE: Removing passenger with lastname Church, row 15, and priority value 315
OLD PROCEDURE: Removing passenger with lastname Benjamin, row 15, and priority value 315
OLD PROCEDURE: Removing passenger with lastname Velez, row 14, and priority value 314
OLD PROCEDURE: Removing passenger with lastname Velasquez, row 12, and priority value 312
OLD PROCEDURE: Removing passenger with lastname Kidd, row 6, and priority value 306
OLD PROCEDURE: Removing passenger with lastname Donovan, row 6, and priority value 306
OLD PROCEDURE: Removing passenger with lastname Stanton, row 26, and priority value 226
OLD PROCEDURE: Removing passenger with lastname Hays, row 26, and priority value 226
OLD PROCEDURE: Removing passenger with lastname Serrano, row 26, and priority value 226
OLD PROCEDURE: Removing passenger with lastname Mccullough, row 25, and priority value 225
OLD PROCEDURE: Removing passenger with lastname Trujillo, row 24, and priority value 224
OLD PROCEDURE: Removing passenger with lastname Clements, row 24, and priority value 224
OLD PROCEDURE: Removing passenger with lastname Randolph, row 23, and priority value 223
OLD PROCEDURE: Removing passenger with lastname Galloway, row 23, and priority value 223
OLD PROCEDURE: Removing passenger with lastname Stephenson, row 23, and priority value 223
OLD PROCEDURE: Removing passenger with lastname Snider, row 22, and priority value 222
OLD PROCEDURE: Removing passenger with lastname York, row 21, and priority value 221
OLD PROCEDURE: Removing passenger with lastname Tyson, row 20, and priority value 220
OLD PROCEDURE: Removing passenger with lastname Fulton, row 20, and priority value 220
OLD PROCEDURE: Removing passenger with lastname Dodson, row 20, and priority value 220
OLD PROCEDURE: Removing passenger with lastname Mcpherson, row 19, and priority value 219
OLD PROCEDURE: Removing passenger with lastname Pate, row 19, and priority value 219
OLD PROCEDURE: Removing passenger with lastname Mccray, row 19, and priority value 219
OLD PROCEDURE: Removing passenger with lastname Sampson, row 19, and priority value 219
OLD PROCEDURE: Removing passenger with lastname Woodward, row 18, and priority value 218
OLD PROCEDURE: Removing passenger with lastname Cherry, row 18, and priority value 218
OLD PROCEDURE: Removing passenger with lastname Alston, row 17, and priority value 217
OLD PROCEDURE: Removing passenger with lastname Dale, row 16, and priority value 216
OLD PROCEDURE: Removing passenger with lastname Bradshaw, row 16, and priority value 216
OLD PROCEDURE: Removing passenger with lastname Ochoa, row 15, and priority value 215
OLD PROCEDURE: Removing passenger with lastname Herring, row 15, and priority value 215
OLD PROCEDURE: Removing passenger with lastname Bray, row 14, and priority value 214
OLD PROCEDURE: Removing passenger with lastname Mcfadden, row 13, and priority value 213
OLD PROCEDURE: Removing passenger with lastname Benton, row 13, and priority value 213
OLD PROCEDURE: Removing passenger with lastname Golden, row 13, and priority value 213
OLD PROCEDURE: Removing passenger with lastname Bartlett, row 13, and priority value 213
OLD PROCEDURE: Removing passenger with lastname Mercer, row 12, and priority value 212
OLD PROCEDURE: Removing passenger with lastname Travis, row 11, and priority value 211
OLD PROCEDURE: Removing passenger with lastname Burks, row 11, and priority value 211
OLD PROCEDURE: Removing passenger with lastname Roach, row 11, and priority value 211
OLD PROCEDURE: Removing passenger with lastname Solis, row 11, and priority value 211
OLD PROCEDURE: Removing passenger with lastname Sanford, row 10, and priority value 210
OLD PROCEDURE: Removing passenger with lastname Finch, row 10, and priority value 210
OLD PROCEDURE: Removing passenger with lastname Hayden, row 10, and priority value 210
OLD PROCEDURE: Removing passenger with lastname Tillman, row 10, and priority value 210
OLD PROCEDURE: Removing passenger with lastname Keith, row 9, and priority value 209
OLD PROCEDURE: Removing passenger with lastname Nieves, row 9, and priority value 209
OLD PROCEDURE: Removing passenger with lastname Odom, row 8, and priority value 208
OLD PROCEDURE: Removing passenger with lastname Sears, row 8, and priority value 208
OLD PROCEDURE: Removing passenger with lastname Duffy, row 7, and priority value 207
OLD PROCEDURE: Removing passenger with lastname Duke, row 6, and priority value 206
OLD PROCEDURE: Removing passenger with lastname Cooley, row 6, and priority value 206
OLD PROCEDURE: Removing passenger with lastname Gay, row 6, and priority value 206
OLD PROCEDURE: Removing passenger with lastname Stafford, row 6, and priority value 206
OLD PROCEDURE: Removing passenger with lastname Rollins, row 5, and priority value 205
